Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Балабан,Орися,Петрівна,Жінка,1948-08-05,Антрополог,селище Калуш,"узвіз Нова, буд. 712, Славута, 99433",+380 34 273 57 68,liashkokyrylo@example.org
Забашта,Ярема,Миколайович,Чоловік,1976-09-28,Астронавт,село Скалат,"сквер 13-та Суворовська, буд. 6 кв. 83, Сніжне, 08172",959 85 15,tymchukspas@example.com
Єресько,Опанас,Миколайович,Чоловік,1995-08-23,Публіцист,село Нікополь,"провулок Абрикосова, буд. 85, Вилкове, 08920",027 892-70-88,alekseienkoavhustyn@example.com
Батіг,Пилип,Петрович,Чоловік,1938-12-31,Мінералог,хутір Щастя ,"шосе Суперфосфатна, буд. 399 кв. 44, Новий Розділ, 11048",087 150 73 72,sliusarlukian@example.org
Теличенко,Спас,Петрович,Чоловік,1957-02-03,Детектив,селище Красноперекопськ,"сквер Тупиковий, буд. 6, Прилуки, 59705",+380 37 142-72-55,mykhailynaderkach@example.com
Смик,Лесь,Сергійович,Чоловік,1941-12-09,Візажист,місто Арциз,"узвіз Восьмого березня узвіз, буд. 99 кв. 5, Мелітополь, 08410",+380 (26) 239-97-53,danhohol@example.com
Дейсун,Андрій,Олександрович,Чоловік,1990-01-15,Бібліотекар,селище Сколе,"сквер Салтикова-Щедріна, буд. 871, Дружківка, 68825",+380 (93) 784-60-70,myroslav89@example.org
Ковалюк,Лариса,Андріївна,Жінка,1973-05-20,Конструктор,хутір Знам'янка,"провулок Лузанівський 2-й, буд. 98 кв. 445, Сокаль, 36133",083 033 76 38,wkonoplia@example.com
Лесик,Леонід,Богданович,Чоловік,1941-04-17,Мінералог,село Прип'ять ,"узвіз Авіаторів, буд. 5, Великі Мости, 40670",069 701-16-67,zzubko@example.org
Бабенко,Назар,Михайлович,Чоловік,1996-03-10,Професор,місто Борзна,"проспект Чорноморський, буд. 678 кв. 402, Дрогобич, 39995",077 908 27 86,danyloorlyk@example.net
Ващенко,Златослава,Миколаївна,Жінка,1956-06-28,Професор,місто Конотоп,"парк Ломоносова, буд. 870 кв. 7, Ізмаїл, 50097",+380 69 485 91 08,davyd27@example.com
Мамчур,Євген,Юрійович,Чоловік,1974-08-19,Програміст,хутір Скалат,"шосе Олександра Невського 2-й, буд. 992 кв. 86, Новий Буг, 34145",+380 (65) 904-55-25,xkyrylenko@example.com
Башполченко,Ганна,Миколаївна,Жінка,1942-10-05,Різноробочий,село Селидове,"узвіз Левадна, буд. 17 кв. 7, Кременець, 77282",090 677 09 93,davdieienko@example.com
Чарниш,Христина,Сергіївна,Жінка,1963-10-05,Антрополог,хутір Васильків,"узвіз Локомотивний 4-й, буд. 131 кв. 8, Костопіль, 72161",+380 19 952 44 42,asomko@example.org
Авдєєнко,Оксенія,Миколаївна,Жінка,1965-07-14,Єгер,місто Міусинськ,"сквер Вокзальний, буд. 24, Антрацит , 05077",015 189-91-98,kanivetskyrylo@example.com
Малик,Прохір,Сергійович,Чоловік,1987-03-26,Адвокат,місто Верхньодніпровськ,"вулиця Ольгіївський узвіз, буд. 025 кв. 1, Рогатин, 76950",+380 16 343 71 97,tytarenkoparmen@example.net
Чміль,Панас,Миколайович,Чоловік,1944-01-22,Кухар,селище Рогатин,"парк Ламаний, буд. 3 кв. 6, Черкаси, 66777",601 69 92,overes@example.com
Тригуб,Еріка,Богданівна,Жінка,1970-03-15,Мікробіолог,село Авдіївка,"площа Клинова, буд. 94, Березівка, 82225",+380 87 380-39-47,iriabets@example.org
Жадан,Борис,Іванович,Чоловік,1994-11-25,Сантехнік,хутір Немирів,"провулок Декабристів, буд. 71, Південне , 60912",716 33 25,nazarsmyk@example.com
Даценко,Орхип,Юрійович,Чоловік,1965-07-22,Дантист,хутір Андрушівка,"площа Авдєєва-Чорноморського, буд. 8 кв. 48, Конотоп, 88742",+380 87 090-46-76,panasriaboshapka@example.net
Килимник,Прохір,Андрійович,Чоловік,1942-11-09,Астронавт,хутір Сокиряни,"парк Перлинна, буд. 89 кв. 3, Переяслав, 17959",042 264 27 12,ivanaleksandrenko@example.net
Шелест,Ганна,Андріївна,Жінка,1948-09-17,Редактор,місто Донецьк,"провулок Проценка, буд. 1, Овруч, 78464",252-75-42,udovenkoroksolana@example.net
Тесля,Леон,Володимирович,Чоловік,1961-03-21,Єгер,село Тлумач,"проспект Головна, буд. 6 кв. 602, Чернівці, 86462",+380 19 016-61-75,nadiia60@example.net
Ковалюк,Соломон,Миколайович,Чоловік,1955-03-26,Машиніст,хутір Тетіїв,"проспект Жуковського, буд. 916 кв. 312, Іршава, 72796",044 302 45 82,psirchenko@example.com
Єресько,Гліб,Сергійович,Чоловік,1938-11-23,Футболіст,селище Білицьке,"площа Художника Федорова, буд. 1, Тульчин, 38990",095 039 10 21,veniiamynbaranyk@example.com
Вернигора,Сергій,Юрійович,Чоловік,1975-10-29,Адвокат,селище Шепетівка,"провулок Нахімова, буд. 9 кв. 514, Балта, 36795",071 032-80-66,iarynazharko@example.com
Тягнибок,Клавдія,Михайлівна,Жінка,1972-11-26,Ді-джей,селище Хотин,"шосе Південна, буд. 458 кв. 2, Вашківці, 05694",018 128 65 56,telizhenkoorest@example.net
Ґоляш,Лілія,Володимирівна,Жінка,1954-02-28,Музикант,селище Тульчин,"провулок Локальна, буд. 6, Тисмениця, 94951",+380 58 750-47-63,nadiiabazavluchenko@example.com
Наливайко,Ярема,Богданович,Чоловік,1962-09-19,Хімік,місто Вишневе ,"вулиця Моторна, буд. 26 кв. 6, Очаків, 46330",068 037-19-15,kashchenkoiaroslav@example.org
Власенко,Устим,Іванович,Чоловік,1951-02-10,Бухгалтер,селище Світловодськ,"сквер Шовкуненка, буд. 6, Добропілля, 46336",+380 11 357 23 71,dubasoksana@example.com
Гайдабура,Тетяна,Іванівна,Жінка,2000-05-03,Драматург,село Кролевець,"узвіз Грецький, буд. 3 кв. 76, Федорівка, 02729",046 004 79 33,symonenkotymofii@example.net
Адамчук,Амалія,Юріївна,Жінка,1944-05-30,Географ,хутір Курахове,"вулиця Лінія 25-та, буд. 9, Погребище, 73796",585-46-43,bohdanna54@example.net
Гавришкевич,Сніжана,Олександрівна,Жінка,1950-03-24,Бібліотекар,хутір Балта,"провулок Уральська, буд. 8 кв. 9, Нова Каховка, 08256",+380 57 659 74 62,nataliia65@example.net
Супруненко,Іван,Володимирович,Чоловік,1956-09-07,Геофізик,село Чернігів,"узвіз Курська, буд. 8, Новомосковськ, 15968",+380 81 454 17 34,stefanfurs@example.net
Байда,Ірена,Андріївна,Жінка,1954-12-25,Паблік рилейшнз,місто Кілія,"шосе Ромашкова, буд. 064 кв. 512, Армянськ, 04649",020 814 82 87,dannavasylenko@example.com
Аврамчук,Герман,Олександрович,Чоловік,1992-06-11,Штукатур,селище Яготин,"набережна Вчительська, буд. 193 кв. 23, Часів Яр, 06711",+380 32 615 58 91,drobakhanestor@example.org
Мамчур,Ірена,Володимирівна,Жінка,1987-08-11,Модельєр,село Кам'янка-Дніпровська,"проспект Рівності 1-й, буд. 2 кв. 12, Бершадь, 95709",+380 68 227-50-82,ahavrylets@example.com
Теліженко,Богдан,Олександрович,Чоловік,1969-06-27,Драматург,селище Кремінна,"набережна Деревообробний 1-й, буд. 2, Вугледар, 81365",+380 08 184 02 35,leon02@example.org
Безбородько,Марко,Володимирович,Чоловік,1958-02-18,Правник,місто Вільнянськ,"провулок Казанська, буд. 90, Татарбунари, 83778",+380 92 823-63-32,iemetssviatoslav@example.com
Стельмах,Симон,Михайлович,Чоловік,1982-10-09,Філолог,місто Городенка,"проспект Москвіна, буд. 8 кв. 69, Барвінкове, 54095",+380 37 206-13-83,kalenychenkoustym@example.com
Базилевський,Руслан,Володимирович,Чоловік,1948-10-29,Дерун,село Мукачево,"набережна Зої Космодем’янської, буд. 73, Біла Церква, 92965",+380 82 993 74 98,ieromenkodmytro@example.org
Данченко,Єва,Володимирівна,Жінка,1977-09-17,Географ,місто Красногорівка,"площа Сімферопольська, буд. 7 кв. 7, Жмеринка, 84003",+380 (99) 227-67-22,huzlarysa@example.net
Черненко,Орися,Андріївна,Жінка,1969-10-16,Гицель,селище Луганськ,"шосе Чорноморський 4-й, буд. 54 кв. 37, Шепетівка, 80781",091 666-96-49,pbabiak@example.com
Влох,Розалія,Іванівна,Жінка,1991-01-15,Фізик,селище Святогірськ,"набережна Лізи Чайкіної, буд. 65 кв. 7, Бережани, 64180",+380 47 669-67-96,hdankiv@example.org
Черінько,Венедикт,Михайлович,Чоловік,1941-01-28,Мистецтвознавець,місто Таврійськ,"шосе Луценка Івана, буд. 088 кв. 876, Перещепине, 42612",016 646 83 54,oles48@example.com
Токар,Веніямин,Андрійович,Чоловік,1983-04-16,Правник,село Ровеньки,"набережна Щукіна, буд. 7, Вишгород, 08959",+380 33 442-21-70,rubetsandrii@example.com
Приходько,Вікторія,Сергіївна,Жінка,1998-04-27,Шериф,місто Сорокине,"площа Нафтовиків, буд. 3, Херсон, 10528",006 569-03-07,vrudko@example.net
Шахрай,Тереза,Михайлівна,Жінка,1967-05-06,Правник,село Червоноград,"проспект Далекосхідна, буд. 4 кв. 7, Кремінна, 83119",439 77 78,uivashchenko@example.org
Рубан,Данна,Богданівна,Жінка,1940-03-06,Бібліотекар,село Лиман ,"вулиця Князівський, буд. 66 кв. 09, Суходільськ, 95564",+380 27 364-47-68,lnosachenko@example.com
Романчук,Святослав,Володимирович,Чоловік,1948-09-30,Модельєр,хутір Мерефа,"узвіз Кримська, буд. 481 кв. 6, Перечин, 98487",696 13 09,zaporozhetszlatoslava@example.net
Самойленко,Златослава,Володимирівна,Жінка,1983-12-25,Державний службовець,село Свалява,"проспект Бессарабська, буд. 6 кв. 80, Кілія, 98780",086 766-87-26,shamrailiudmyla@example.net
Ващук,Юхим,Олександрович,Чоловік,1951-12-08,Секретар,селище Боярка,"провулок Тимірязєва, буд. 56 кв. 454, Кипуче, 45187",319 32 80,liliiakovaliuk@example.net
Щорс,Людмила,Олександрівна,Жінка,2007-05-29,Машиніст,селище Ірміно,"вулиця Аеропортівський 2-й, буд. 814 кв. 357, Кам'янка-Дніпровська, 33985",+380 10 830-21-52,ttkachenko@example.org
Демʼянюк,Єлисавета,Богданівна,Жінка,1983-02-12,Музичний редактор,село Прилуки,"вулиця Далекосхідна, буд. 28, Благовіщенське, 63460",003 942 31 18,ukalenychenko@example.org
Даньків,Геннадій,Володимирович,Чоловік,1940-10-08,Головний меркшейдер,селище Чигирин,"провулок Училищна, буд. 020 кв. 1, Апостолове, 50677",+380 44 997-32-50,halyna39@example.net
Петлюра,Оксенія,Іванівна,Жінка,1941-06-01,Ювелір,село Рені,"проспект Керченський 1-й, буд. 192, Мостиська, 04166",+380 38 667-77-58,kalenychenkokyrylo@example.com
Макаренко,Соломія,Юріївна,Жінка,2003-12-29,Фермер,хутір Костянтинівка,"набережна Олександра Вронського, буд. 4 кв. 931, Новий Розділ, 18518",+380 81 015-61-71,cmamchur@example.org
Журавель,Ганна,Михайлівна,Жінка,1941-07-07,Архітектор,хутір Калинівка ,"провулок Луценка Івана, буд. 27 кв. 5, Теплодар, 99417",211-88-28,nataliiaievtushenko@example.net
Алексеєнко,Михайло,Петрович,Чоловік,1964-11-24,Стропальник,хутір Харцизьк,"парк Восьмого березня 9-й, буд. 0, Вишгород, 36136",+380 54 882-34-50,bohuslavaperepelytsia@example.org
Годунок,Алла,Богданівна,Жінка,1939-11-25,Географ,місто Торецьк,"провулок Слєпньова, буд. 1 кв. 0, Баранівка, 23104",069 434 60 09,qshamrai@example.org
Гайденко,Лесь,Петрович,Чоловік,2003-01-07,Електрик,селище Чугуїв,"проспект Ялинкова, буд. 374, Здолбунів, 66687",934-65-82,viktoriia62@example.org
Петлюра,Віталій,Андрійович,Чоловік,1954-10-14,Ді-джей,місто Красногорівка,"проспект Преображенська, буд. 19 кв. 3, Миргород, 87703",+380 36 087-86-95,vadymtsymbal@example.com
Артюх,Пантелеймон,Петрович,Чоловік,1948-12-31,Географ,місто Ялта,"набережна Жаботинського, буд. 853, Буськ, 61715",+380 56 932-03-67,orest52@example.org
Оніщук,Світлана,Богданівна,Жінка,1956-05-31,Бібліограф,хутір Славута,"сквер Рощева, буд. 16, Зоринськ, 70450",+380 (83) 612-04-70,vyshyvanyiustym@example.net
Байда,Панас,Андрійович,Чоловік,2003-04-27,Астрофізик,селище Золоте,"шосе Офіцерський 1-й, буд. 2 кв. 80, Сокиряни, 41113",191-27-60,atarasenko@example.com
Євтушенко,Станіслав,Петрович,Чоловік,1965-06-06,Ґрунтознавець,село Лутугине,"узвіз Дніпропетровська дорога, буд. 08, Рахів, 04350",473 60 49,shtepaarkadii@example.com
Кибкало,Герман,Богданович,Чоловік,1990-07-09,Хімік,село Стрий,"площа Сумський, буд. 100 кв. 67, Шостка, 94105",+380 15 701-92-32,jhaidamaka@example.net
Романець,Ганна,Юріївна,Жінка,1995-10-11,Дантист,місто Залізне,"площа Скляний 2-й, буд. 365 кв. 3, Покров, 89828",531 05 35,diemets@example.net
Конопля,Богдан,Богданович,Чоловік,1960-08-02,Біолог,село Вовчанськ,"набережна Кондрашина, буд. 726, Чорноморськ, 15775",+380 76 986-79-95,zovcharenko@example.com
Колодуб,Ірена,Олександрівна,Жінка,1972-09-22,М'ясник,село Куп'янськ,"сквер Бугаївська, буд. 066, Перевальськ, 60805",059 428-50-73,lemeshkoiaryna@example.org
Жайворон,Вʼячеслав,Юрійович,Чоловік,2008-01-25,Маркетолог,місто Авдіївка,"площа Кільцева, буд. 76 кв. 098, Прилуки, 82612",+380 26 650 72 98,mariiasymonenko@example.com
Алексеєнко,Емілія,Богданівна,Жінка,1986-10-02,Петрограф,місто Чигирин,"парк 13-та ст. Великого Фонтану пляж, буд. 95 кв. 6, Снятин, 04294",004 428 15 22,liubov76@example.org
Андріїшина,Ольга,Олександрівна,Жінка,1989-10-02,Державний службовець,село Бердянськ,"сквер Урожайна, буд. 329, Гірник , 19921",085 723 13 46,artemdrozdenko@example.net
Гоголь,Богуслав,Андрійович,Чоловік,1961-08-08,Реставратор,село Борзна,"проспект Соляний 4-й, буд. 20 кв. 227, Миргород, 01793",019 106-74-39,khomykfedir@example.org
Верменич,Степан,Юрійович,Чоловік,1985-12-09,Краєзнавець,місто Тячів,"узвіз Головна, буд. 382 кв. 623, Обухів, 77345",+380 79 860 75 03,solomon40@example.com
Демʼянюк,Охрім,Петрович,Чоловік,1954-03-21,Складальник,місто Тростянець,"провулок Толбухіна, буд. 68, Кам'янка (Черкаська область), 12059",063 997 27 87,violettadzhun@example.com
Терещенко,Йосип,Володимирович,Чоловік,1993-08-06,Стропальник,село Міусинськ,"площа Літній, буд. 15, Калинівка , 74149",+380 69 366 77 52,pryimakveniiamyn@example.org
Панчук,Лесь,Богданович,Чоловік,1972-11-08,Соціолог,хутір Верхньодніпровськ,"вулиця Бузкова, буд. 4, Костопіль, 20173",186-28-23,isaienko@example.org
Удовиченко,Станіслав,Андрійович,Чоловік,1998-12-15,Музичний редактор,місто Кремінна,"сквер Лінія 48-ма, буд. 79 кв. 656, Таврійськ, 63174",051 59 24,olehieroshenko@example.org
Редько,Любов,Петрівна,Жінка,1994-07-22,Перекладач,село Амвросіївка,"парк Волзький, буд. 1, Вінниця, 61691",034 636 11 39,levchenkoonysym@example.com
Гайворонський,Андрій,Богданович,Чоловік,1968-01-05,Слідчий,місто Гуляйполе,"площа Парашутний, буд. 515, Угнів, 49397",+380 89 563 54 52,skyrdaavrelii@example.org
Скирда,Валентина,Іванівна,Жінка,1988-07-15,Хореограф,хутір Щолкіне,"набережна 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 52, Запоріжжя, 20735",+380 83 690-02-75,yvertyporokh@example.com
Мазепа,Ярослава,Миколаївна,Жінка,1954-01-05,Графік,хутір Дубно,"шосе Польова, буд. 0 кв. 62, Костопіль, 72294",015 722-57-95,hchervonenko@example.org
Бевз,Мирон,Богданович,Чоловік,1997-06-09,Режисер,хутір Миколаїв,"узвіз Косвена, буд. 13 кв. 91, Кам'янець-Подільський, 23784",+380 57 402 03 79,hennadii33@example.net
Дерегус,Гордій,Богданович,Чоловік,1952-02-04,Філолог,хутір Куп'янськ,"шосе Бірюкова, буд. 582 кв. 435, Сторожинець, 45046",+380 (35) 785-31-41,opanas10@example.org
Андрійович,Григорій,Олександрович,Чоловік,1969-03-20,Електромонтажник,село Сніжне,"сквер Заводська, буд. 303, Роздільна, 86434",+380 (08) 828-98-77,viktoriiaiurchuk@example.org
Баранець,Теодор,Іванович,Чоловік,1954-06-23,Музичний редактор,село Дружба ,"узвіз Трудовий, буд. 62, Святогірськ, 66627",+380 67 442-77-07,evovk@example.org
Пелех,Софія,Сергіївна,Жінка,1965-06-17,Фізик,хутір Буськ,"проспект 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 6, Кобеляки, 72591",776-28-75,qdubyna@example.com
Кальченко,Андрій,Богданович,Чоловік,1943-09-21,Геолог,село Свалява,"узвіз Віри Інбер, буд. 575 кв. 3, Дубровиця, 62513",518 83 87,easaula@example.com
Власюк,Клавдія,Олександрівна,Жінка,1982-08-20,Різноробочий,село Сєвєродонецьк,"площа Кострова, буд. 7, Кальміуське, 59585",918 37 24,solomonnalyvaiko@example.com
Артеменко,Данило,Сергійович,Чоловік,1998-09-07,Євнух,хутір Арциз,"сквер Кримська, буд. 540, Зоринськ, 93772",074 023 78 39,psomko@example.org
Безбородько,Марта,Іванівна,Жінка,1992-12-14,Гінеколог,село Помічна,"провулок Роздольна, буд. 715 кв. 64, Павлоград, 17175",087 140 44 43,dangerega@example.net
Рудик,Лілія,Сергіївна,Жінка,2008-08-31,Хореограф,селище Соледар,"провулок Старосінна, буд. 9 кв. 5, Васильків, 82317",+380 (71) 073-52-27,iemelianenkoedyta@example.org
Матяш,Олесь,Миколайович,Чоловік,1956-07-26,Ветеринар,село Новоселиця,"провулок Рішельєвська, буд. 94 кв. 7, Пирятин, 75136",015-39-95,venedykt56@example.org
Сіробаба,Еріка,Петрівна,Жінка,1980-02-28,Гицель,село Угнів,"шосе Балтський 2-й, буд. 8 кв. 165, Марганець , 03648",907 34 96,norlyk@example.org
Єрченко,Едуард,Богданович,Чоловік,1950-05-10,Агроном,місто Новий Розділ,"вулиця Обривиста, буд. 8 кв. 7, Сновськ, 53474",099 402 76 06,borys20@example.org
Верес,Віталій,Андрійович,Чоловік,1959-04-03,Драматург,місто Дніпрорудне,"шосе Чорноморський 13-й, буд. 4, Соснівка , 14654",+380 07 546 34 99,volodymyradarahan@example.com
Приходько,Устим,Миколайович,Чоловік,1950-06-01,Бібліограф,селище Ялта,"набережна Грецька, буд. 20, Середина-Буда, 03152",+380 35 689-14-62,fusyk@example.org
Габелко,Лілія,Михайлівна,Жінка,1960-11-28,Редактор,хутір Гірське,"парк Лінія 26-та, буд. 1, Алмазна, 69774",031 040-88-87,hutsuliakiakiv@example.net
Приймак,Альберт,Сергійович,Чоловік,1977-01-21,Кухар,селище Джанкой,"вулиця Лінія 25-та, буд. 508 кв. 99, Шпола, 35234",730 45 86,khrystynadrobakha@example.org
Артимишина,Вікторія,Петрівна,Жінка,2002-10-08,Археолог,селище Новогродівка,"площа Качалова, буд. 772, Зміїв, 88954",828-50-58,danylo82@example.org
Величко,Вадим,Іванович,Чоловік,1956-09-05,Фізик,хутір Залізне,"проспект Полуничний, буд. 66, Миколаївка , 83078",+380 (25) 455-37-41,piddubnyiviktoriia@example.net
Адамчук,Вадим,Володимирович,Чоловік,1994-02-05,Конструктор,селище Жданівка,"площа Гранатна, буд. 12, Хотин, 89570",+380 45 860-73-31,kchumak@example.net
Килимник,Альберт,Юрійович,Чоловік,1970-07-01,Паблік рилейшнз,село Баранівка,"сквер 10-та Лінія Марії Демченко, буд. 8, Алушта, 89119",+380 04 875 18 51,udovychenkovasyl@example.org
Ейбоженко,Петро,Петрович,Чоловік,1980-10-11,Кінолог,місто Сватове,"площа Лінія 33-тя, буд. 15, Олевськ, 56291",081 095-74-52,ykhrystych@example.org
Деряжний,Валерій,Олександрович,Чоловік,2007-01-15,Соціолог,місто Хирів,"набережна Немировича-Данченка, буд. 48, Гірське, 55618",377 74 41,ustym18@example.net
Теличенко,Володимира,Миколаївна,Жінка,1964-08-08,Фрілансер,хутір Бершадь,"шосе Слави, буд. 548 кв. 536, Пологи , 69273",+380 18 635-13-87,varvaraonufriienko@example.com
Ребрик,Едуард,Богданович,Чоловік,1975-08-01,Скульптор,село Торецьк,"площа Дзвінка, буд. 414 кв. 145, Копичинці, 52280",+380 89 757-45-14,qvalenko@example.net
Христенко,Марʼяна,Андріївна,Жінка,1950-11-28,Ювелір,хутір Гола Пристань,"узвіз Бахчева, буд. 516 кв. 290, Зугрес, 63674",+380 (76) 278-83-90,ilesyk@example.net
Андріїшина,Пріска,Сергіївна,Жінка,1990-09-29,Правник,хутір Київ,"проспект Запорізька, буд. 47 кв. 55, Зимогір'я, 25271",+380 (31) 273-42-43,olehartemenko@example.org
Архипенко,Максим,Сергійович,Чоловік,1991-07-18,Каскадер,село Суми,"шосе Майстерний, буд. 8, Скалат, 90192",+380 37 496 46 89,rshcherban@example.net
Козак,Леопольд,Михайлович,Чоловік,2002-05-17,Кухар,місто Корюківка,"набережна Політкаторжан, буд. 056 кв. 426, Буча, 83261",+380 27 678-90-45,sviatoslavabaklan@example.net
Гоголь,Едита,Іванівна,Жінка,2001-11-12,Доцент,селище Новомосковськ,"шосе Шилова, буд. 78 кв. 3, Ямпіль, 67064",702 55 51,vitaliipanchuk@example.com
Нестеренко,Амвросій,Іванович,Чоловік,1961-01-11,Фермер,хутір Миргород,"парк Шишкіна, буд. 82 кв. 4, Вознесенівка, 54964",400-44-12,oorobets@example.com
Ґоляш,Світлана,Миколаївна,Жінка,1947-05-02,Мікробіолог,місто Хотин,"парк Мечникова, буд. 4 кв. 9, Євпаторія, 89657",429-21-48,bohdan48@example.net
Чабан,Охрім,Петрович,Чоловік,1968-04-17,Науковець,село Красилів,"шосе Новосельского, буд. 030, Арциз, 86217",078 964 16 53,volodymyraarkhymovych@example.net
Теліженко,Остап,Миколайович,Чоловік,2006-02-17,Астрофізик,місто Вознесенівка,"набережна Зарічна, буд. 71, Подільськ, 12839",+380 (34) 833-15-14,babychenkosviatoslava@example.org
Фаренюк,Ігнат,Михайлович,Чоловік,1973-03-11,Дипломат,хутір Городище ,"провулок Дігтярна, буд. 755, Берестечко, 33819",320 20 46,klymenttychyna@example.net
Тягнибок,Венедикт,Петрович,Чоловік,1954-03-01,Паблік рилейшнз,село Золотоноша,"шосе Шовкуненка, буд. 17 кв. 82, Фастів, 43371",014 646 15 03,odemianiuk@example.com
Ґерус,Зорян,Олександрович,Чоловік,1943-11-21,Інженер,селище Торецьк,"вулиця Деволанівський узвіз, буд. 466 кв. 56, Чортків, 78362",864 50 24,anzhela24@example.org
Яценюк,Яків,Петрович,Чоловік,1979-04-18,М'ясник,місто Брянка,"парк Тупиковий 1-й, буд. 768, Чигирин, 05076",049 868 92 17,hutsuliakazar@example.org
Верменич,Руслан,Петрович,Чоловік,1991-05-16,Археолог,село Новоград-Волинський,"сквер 8-ма Лінія Дачі Ковалевського, буд. 1 кв. 864, Вилкове, 96872",+380 33 653-57-17,kolodubmarko@example.org
Захарченко,Віктор,Миколайович,Чоловік,2004-07-08,Дизайнер,хутір Берислав,"вулиця Слави, буд. 102, Тиврів, 27515",+380 74 339 28 92,mariana68@example.net
Гайдабура,Олена,Сергіївна,Жінка,1947-03-12,Біолог,село Липовець,"сквер Шолохова, буд. 5 кв. 193, Горішні Плавні, 55731",+380 (95) 449-96-91,havrylopetliura@example.com
Юрченко,Остап,Іванович,Чоловік,1940-05-12,Прокурор,село Снятин,"шосе Восьмого березня 9-й, буд. 82 кв. 346, Березань , 78410",+380 35 875 99 37,rtkachenko@example.org
Вергун,Данна,Богданівна,Жінка,1987-01-18,Стиліст,місто Бібрка,"проспект Моторний 3-й, буд. 450, Гола Пристань, 37481",+380 65 495-08-19,artem70@example.org
Вернигора,Валентин,Андрійович,Чоловік,1966-02-12,Кур'єр,село Хотин,"проспект Разумовська, буд. 4, Люботин, 36395",+380 50 327-35-50,dakhnobohodar@example.net
Ковалюк,Ярема,Олександрович,Чоловік,1975-09-06,Стоматолог,хутір Гнівань,"набережна Свободи, буд. 7 кв. 20, Деражня, 35001",+380 21 534-77-33,roksolana45@example.net
Медведенко,Гордій,Богданович,Чоловік,1955-07-17,Парфюмер,селище Армянськ,"парк Новоселів, буд. 669 кв. 4, Новоселиця, 56519",+380 (12) 687-38-79,redkoorest@example.org
Сиротенко,Климент,Андрійович,Чоловік,1986-12-31,Клоун,місто Рудки,"вулиця Якірний, буд. 70, Сновськ, 30997",031 785-36-57,giaremko@example.org
Кабалюк,Ярина,Сергіївна,Жінка,1973-11-30,Ґрунтознавець,село Жашків,"парк Проценка, буд. 4 кв. 791, Гайворон, 10213",745-68-84,anastasiia94@example.net
Корж,Валентина,Богданівна,Жінка,1971-11-13,Мірошник,хутір Петрово-Красносілля,"провулок Проектований 3-й, буд. 578, Миргород, 55606",+380 93 656-94-02,olena51@example.net
Голобородько,Оксенія,Андріївна,Жінка,1947-09-16,Візажист,село Вільнянськ,"парк Стамбульський, буд. 267 кв. 381, Зугрес, 21306",130-17-06,xtychyna@example.org
Данильчук,Розалія,Сергіївна,Жінка,1949-06-13,Парфюмер,місто Бобровиця,"провулок Волзький, буд. 0 кв. 053, Горлівка, 39076",+380 (53) 272-66-71,fshcherbak@example.net
Дерегус,Орися,Миколаївна,Жінка,1986-08-26,Архітектор,хутір Чоп,"вулиця Шахтинський, буд. 61 кв. 561, Кальміуське, 29421",+380 11 486-02-97,ihor20@example.com
Жук,Ярина,Миколаївна,Жінка,1941-04-03,Нотаріус,місто Докучаєвськ,"площа Залізничний 3-й, буд. 582 кв. 84, Судова Вишня, 55828",040 686-71-72,hlibmatviienko@example.org
Павлик,Пріска,Андріївна,Жінка,1941-02-25,Економіст,село Мала Виска,"провулок Чубаївський, буд. 3, Прип'ять , 58768",+380 36 767-30-97,sviatoslavazasenko@example.net
Саченко,Віталій,Володимирович,Чоловік,2002-08-17,Фрілансер,село Волочиськ,"парк Якутська, буд. 51 кв. 4, Херсон, 23698",033 999-12-64,ivanskyba@example.net
Каденюк,Пармен,Богданович,Чоловік,1943-02-14,Гицель,місто Запоріжжя,"площа Прибережний, буд. 4, Краматорськ, 91973",+380 10 140-20-70,haidamakaparmen@example.net
Чаленко,Єфрем,Володимирович,Чоловік,1942-04-01,Підприємець,село Кам'янка-Бузька,"сквер Цимлянська, буд. 951 кв. 1, Карлівка, 21140",407-96-76,amvrosii73@example.com
Ємець,Лариса,Петрівна,Жінка,1987-05-18,Няня,село Корюківка,"площа Дмитрія Донського, буд. 2 кв. 880, Краматорськ, 11387",+380 67 726 04 25,ulytvynenko@example.org
Колодуб,Едуард,Миколайович,Чоловік,1981-12-27,Державний службовець,село Куп'янськ,"сквер Горіхова, буд. 3 кв. 7, Сніжне, 22110",+380 49 290 13 24,marianashakhrai@example.com
Опанасенко,Соломон,Олександрович,Чоловік,1987-12-22,Перекладач,місто Судак ,"шосе Кустанайський 2-й, буд. 6, Арциз, 09920",+380 04 376-24-54,larysaiashchuk@example.com
Яковенко,Володимир,Андрійович,Чоловік,1989-02-10,Електротехнік,хутір Новомиргород,"провулок Восьмого Березня Лінія 4-та, буд. 91, Зіньків, 16978",+380 34 739-32-76,orysia02@example.net
Заєць,Розалія,Богданівна,Жінка,1971-08-15,Антрополог,село Житомир,"парк Грецька, буд. 820, Калинівка , 19864",016 239 30 67,valeriivivcharenko@example.com
